Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,1,Yes,No,3973,9064,4443,240,1,Yes,Yes
Female,No,1,No,No,1816,6682,3842,360,1,Yes,No
Female,Yes,2,Yes,No,3395,4357,5043,180,0,Yes,No
Male,Yes,1,Yes,Yes,9666,2710,4675,360,1,No,Yes
Male,No,3+,No,No,8739,3088,2350,180,1,Yes,Yes
Female,No,1,Yes,No,9644,6186,8279,360,1,No,Yes
Male,No,3+,No,No,6029,7798,7507,360,1,No,No
Female,Yes,1,No,Yes,5989,3458,7930,240,1,Yes,Yes
Male,No,3+,No,No,9380,4669,9731,240,1,No,Yes
Male,Yes,0,No,Yes,5968,5648,9075,180,1,No,Yes
Male,Yes,0,No,Yes,6050,4728,4803,360,1,No,No
Male,No,3+,No,No,5351,7952,1683,360,1,Yes,No
Male,No,1,No,No,8801,3270,7931,360,1,Yes,Yes
Female,Yes,0,No,No,7181,1142,8849,240,1,Yes,No
Male,No,1,No,Yes,3728,5208,8849,180,1,No,Yes
Female,Yes,2,No,Yes,9176,5913,2681,180,1,Yes,Yes
Female,No,2,No,No,8826,4119,2066,180,1,Yes,Yes
Male,No,2,No,Yes,5379,6380,4752,180,1,No,Yes
Female,No,3+,No,Yes,8961,1227,7474,240,1,No,No
Female,No,2,Yes,No,4753,2811,7721,360,1,Yes,No
Female,No,3+,Yes,No,5223,6429,2473,360,1,No,Yes
Male,No,3+,No,Yes,7604,4753,9054,180,0,No,Yes
Male,Yes,3+,No,No,8584,8740,3185,240,1,No,Yes
Male,No,0,No,No,1742,9838,1938,180,1,Yes,No
Male,Yes,2,Yes,No,2179,4182,6860,360,1,Yes,Yes
Female,Yes,1,Yes,No,1161,7218,2087,240,1,No,No
Female,No,1,No,No,1646,7265,3258,240,1,No,No
Female,Yes,1,Yes,Yes,5133,9414,7959,180,1,Yes,Yes
Male,Yes,3+,Yes,Yes,3641,4109,7971,180,1,No,Yes
Male,No,1,No,No,7454,6765,6011,240,1,Yes,Yes
Male,No,2,No,Yes,7643,9459,9886,360,1,No,No
Male,Yes,3+,Yes,No,8674,9418,1309,180,1,Yes,Yes
Female,No,1,No,No,2725,7399,7251,180,1,No,No
Male,Yes,3+,Yes,Yes,9403,3196,2519,180,1,No,Yes
Male,Yes,2,Yes,Yes,6656,2133,4686,240,1,Yes,Yes
Female,Yes,0,Yes,Yes,3897,6303,4278,240,1,No,No
Female,No,2,No,No,1724,2389,9732,240,1,Yes,Yes
Male,No,3+,Yes,No,2818,9489,6517,180,1,Yes,Yes
Male,No,3+,Yes,Yes,7135,1500,2562,360,0,Yes,No
Male,No,0,No,No,5976,1217,8984,360,1,No,No
Female,No,3+,No,No,5435,7537,3154,240,1,Yes,No
Male,Yes,1,Yes,No,7611,3544,6469,240,1,Yes,No
Male,No,1,No,Yes,8646,8834,7945,240,1,Yes,Yes
Female,Yes,2,No,Yes,8701,8871,3088,180,1,Yes,No
Male,Yes,1,No,Yes,9571,8474,1431,360,1,Yes,No
Male,No,1,Yes,Yes,9958,3337,3829,240,1,No,Yes
Male,Yes,0,No,Yes,1344,6045,2771,240,0,No,Yes
Female,No,3+,No,No,6678,6723,9370,360,1,No,No
Male,Yes,0,Yes,No,2038,6996,9738,360,1,No,Yes
Female,Yes,1,No,Yes,4854,7739,1974,180,1,No,Yes
Female,Yes,2,No,No,1700,2548,5617,240,0,No,No
Female,Yes,3+,Yes,Yes,5933,1961,5692,240,1,No,No
Female,No,0,Yes,Yes,2170,6261,8158,180,1,No,No
Male,Yes,0,Yes,No,9427,6472,1961,360,1,No,No
Female,Yes,1,Yes,Yes,2377,5676,8210,360,1,No,No
Female,No,0,No,Yes,6007,6696,4408,360,1,No,No
Female,Yes,2,Yes,Yes,1999,5427,6595,180,1,Yes,No
Female,No,2,Yes,Yes,4777,7983,9504,180,1,Yes,Yes
Male,No,0,Yes,Yes,4966,3141,5343,360,0,Yes,Yes
Female,No,2,No,Yes,2177,5721,8964,180,1,Yes,No
Female,Yes,2,No,Yes,5298,3541,8499,180,1,No,Yes
Male,Yes,2,No,Yes,9036,5867,3759,240,1,Yes,No
Female,Yes,1,Yes,Yes,2323,1809,1456,360,1,Yes,Yes
Female,Yes,3+,Yes,Yes,2955,8083,5935,240,1,Yes,Yes
Female,No,3+,No,Yes,8110,7205,7538,180,1,No,No
Male,No,2,Yes,Yes,6844,7332,9823,180,1,No,No
Female,No,3+,No,No,6542,1961,8721,240,1,Yes,Yes
Female,Yes,1,No,Yes,9931,7424,6240,240,1,No,Yes
Female,No,3+,No,Yes,3830,4409,2500,360,1,Yes,Yes
Female,Yes,1,No,No,9686,6288,8898,180,1,No,No
Female,Yes,3+,Yes,No,7057,6496,7799,240,1,Yes,No
Male,Yes,1,Yes,No,6283,1558,8093,360,0,No,Yes
Female,Yes,2,Yes,No,8124,6217,6687,240,1,No,Yes
Male,Yes,1,Yes,Yes,1399,9244,7522,240,0,Yes,Yes
Male,No,2,No,No,8656,6512,5915,360,1,Yes,No
Male,No,3+,No,Yes,3829,9684,8830,180,1,Yes,No
Male,No,0,Yes,No,7920,1375,1579,360,0,Yes,Yes
Female,Yes,2,Yes,Yes,8434,2118,3625,240,1,Yes,No
Female,No,2,No,No,8792,7142,6902,240,1,No,No
Male,Yes,0,No,Yes,1396,9162,2841,180,1,Yes,No
Female,No,3+,Yes,No,5788,1660,4755,180,1,Yes,No
Male,No,1,Yes,No,2081,6311,6595,180,0,No,No
Male,No,3+,Yes,No,7565,2852,7834,360,1,No,Yes
Female,No,1,No,Yes,8045,3178,3989,240,1,No,No
Female,Yes,3+,Yes,Yes,7308,3899,4952,240,1,Yes,No
Female,No,3+,Yes,Yes,7726,2156,8686,240,1,Yes,Yes
Male,Yes,1,Yes,No,5094,4869,2013,240,1,No,No
Male,Yes,2,Yes,No,1500,1182,4372,240,0,No,Yes
Female,Yes,0,No,Yes,4351,8575,4036,180,1,No,No
Female,No,1,Yes,No,4768,6967,3003,360,1,Yes,No
Male,No,2,Yes,No,5446,2781,1487,240,0,Yes,No
Male,No,3+,Yes,Yes,3216,8515,6690,180,1,Yes,No
Male,No,3+,Yes,No,5209,8337,2911,180,1,No,Yes
Male,No,3+,Yes,Yes,8913,9537,5282,240,1,No,Yes
Female,Yes,1,No,No,3261,8921,1108,180,1,Yes,No
Male,No,2,No,Yes,8260,3699,9785,360,1,Yes,Yes
Male,No,2,No,No,7711,8518,1682,360,1,No,No
Male,No,2,Yes,No,3660,5646,7348,360,1,Yes,No
Female,No,3+,Yes,Yes,6001,7238,7733,360,1,Yes,Yes
Male,Yes,2,No,Yes,4790,2594,7066,180,0,No,No
Male,Yes,0,Yes,Yes,8100,7548,3875,180,1,Yes,Yes
Female,No,1,No,Yes,2637,7505,8834,360,1,Yes,Yes
Female,Yes,1,Yes,Yes,8829,4393,4252,180,0,Yes,No
Female,Yes,0,Yes,No,5688,2603,2103,240,1,Yes,No
Male,Yes,0,Yes,Yes,6683,5751,2988,360,1,Yes,No
Female,No,0,No,Yes,5280,1515,9192,180,1,No,Yes
Female,Yes,2,No,No,7212,7140,2160,180,1,No,No
Male,Yes,1,Yes,No,3644,5437,4193,240,0,No,Yes
Male,Yes,3+,No,No,1696,7754,1110,180,0,No,No
Male,Yes,3+,Yes,No,4720,3875,4949,240,0,Yes,No
Male,Yes,1,Yes,Yes,1774,7812,9726,180,1,No,No
Female,Yes,2,Yes,No,8027,7860,9460,360,1,No,Yes
Female,No,3+,Yes,Yes,7471,9223,3010,180,1,No,Yes
Female,Yes,1,Yes,No,8207,9114,5351,360,1,Yes,No
Male,Yes,0,No,Yes,7416,2432,4032,180,1,Yes,Yes
Male,No,2,Yes,Yes,7986,8782,8452,180,1,Yes,Yes
